1003,1001
1010,1015,1012,1005,1006,1003
1016,1017,1018,1019
1022,1010,1016,1020,1021
1016
1027
1028
1016
1031,1032
1031,1035,1019
1037,1028
1038,1031,1039,1015,1032
1031,1042,1039,1040,1016,1028,1012,1043,1018,1032,1045
1052,1048,1015,1035,1005,1017
1016,1054,1043
1055,1022,1056,1039
1005
1055
1039
1038,1059,1020,1018,1021
1038,1059,1042,1016,1020,1060,1045,1019
1022,1015,1035,1027,1055
1052,1003,1056
1016,1059,1052
1016,1020,1028
1018,1066
1020,1040
1039
1031,1039,1016,1006,1043,1001
1059
1038,1042,1070,1043
1048
1016,1020,1071
1074,1019
1059
1059,1006,1035
1042,1052,1016,1017,1037,1003
1048,1076,1040
1018
1019
1031,1022,1074,1052,1016,1020,1048,1015,1006,1001,1045,1019
1020,1043
1020
1081,1042,1040,1020,1005,1001,1080
1038,1016,1020,1048,1028,1027,1017,1076,1080
1038,1059,1040,1020,1056
1015
1052,1019
1015,1003,1056,1001
1038
1010,1045,1054,1056,1019
1005,1020,1012,1071
1016
1045,1006,1048,1074
1040
1016,1031,1048,1021
1059,1016,1032,1054,1019
1059,1015
1028
1071,1020,1010,1001
1081,1059
1059,1010,1012,1054,1066
1020
1039
1056
1040,1016,1027,1060,1066
1080,1018,1060
1059,1032
1054
1052
1081,1031,1022,1020,1043
1016,1017,1043,1012
1059
1052,1031,1074,1040
1059
1074,1056
1042,1012
1038,1081,1042,1039,1016,1020,1048,1035,1043,1076,1032,1080,1003
1054,1039
1042,1031,1016,1012,1006,1070,1021,1018,1054,1019
1039
1038,1040,1016,1048,1071,1006
1038,1031,1052,1035,1071,1017,1043,1055,1001,1045,1080,1019
1081,1020,1043
1059,1042,1052,1016,1018,1019
1081,1059,1003,1032
1015
1059
1031,1043
1043
1054,1043,1066
1016,1048,1035,1012
1056,1035
1017,1019
1040
1059,1043
1043
1059,1031,1039,1055,1043
1081,1031,1016,1070,1037,1021,1001,1003
1042,1031,1040,1016,1006,1032,1001
1038,1052,1016,1043,1018,1032,1080,1003,1019
1020
1016,1020,1017,1043,1076,1060,1018,1054,1019
1018
1059,1054
1039
1039
1040,1020,1055,1070,1045,1054,1019
1016
1059,1037,1039
1005,1017,1070
1016,1017
1038,1043,1039
1043
1016,1070,1074
1031,1016,1012,1017,1043,1045
1038,1081,1020,1071,1019
1016,1059
1045,1003
