1003,1001
1006,1003,1015,1012
1016,1017,1018,1019
1016,1020
1016
1028
1016
1031,1032
1031,1035,1019
1037,1028
1038,1031,1039,1015,1032
1031,1042,1039,1040,1016,1028,1012,1043,1018,1032
1052,1048,1015,1035,1017
1016,1054,1043
1056,1039
1039
1038,1059,1020,1018
1038,1059,1042,1016,1020,1060,1019
1015,1035
1052,1003,1056
1016,1059,1052
1016,1020,1028
1018,1066
1020,1040
1039
1031,1039,1016,1006,1043,1001
1059
1038,1042,1070,1043
1048
1016,1020
1074,1019
1059
1059,1006,1035
1042,1052,1016,1017,1037,1003
1048,1040
1018
1019
1031,1052,1074,1016,1020,1048,1015,1006,1001,1019
1020,1043
1020
1081,1042,1040,1020,1001
1038,1016,1020,1048,1028,1017
1038,1059,1040,1020,1056
1015
1052,1019
1015,1003,1056,1001
1038
1054,1056,1019
1020,1012
1016
1006,1048,1074
1040
1016,1031,1048
1059,1016,1032,1054,1019
1059,1015
1028
1020,1001
1081,1059
1059,1054,1066,1012
1020
1039
1056
1016,1040,1066,1060
1018,1060
1059,1032
1054
1052
1081,1020,1043,1031
1016,1017,1043,1012
1059
1052,1031,1074,1040
1059
1074,1056
1042,1012
1038,1081,1042,1039,1016,1020,1048,1035,1043,1032,1003
1054,1039
1042,1031,1016,1012,1006,1070,1018,1054,1019
1039
1038,1040,1016,1048,1006
1038,1031,1052,1035,1017,1043,1001,1019
1081,1020,1043
1059,1042,1052,1016,1018,1019
1081,1059,1003,1032
1015
1059
1031,1043
1043
1054,1043,1066
1016,1048,1035,1012
1056,1035
1017,1019
1040
1059,1043
1043
1059,1031,1043,1039
1081,1031,1016,1070,1037,1001,1003
1042,1031,1040,1016,1006,1032,1001
1038,1052,1016,1043,1018,1032,1003,1019
1020
1016,1020,1017,1043,1018,1060,1054,1019
1018
1059,1054
1039
1039
1040,1020,1070,1054,1019
1016
1059,1037,1039
1017,1070
1016,1017
1038,1043,1039
1043
1016,1070,1074
1031,1016,1012,1017,1043
1038,1020,1081,1019
1016,1059
1003
1038,1059,1020,1018,1066
1054
1038,1074,1040,1012,1043
1081
1016,1012
1038,1059,1039,1035,1006,1054
1059,1043
1017
1081,1037
1059,1070,1043,1035
1081,1031
1038,1081,1040,1016,1060,1020,1037,1001
1048
1059,1031,1040,1016,1048,1001
1059
1059,1019
1039,1012,1070,1043,1066
1059,1043,1018
1040,1016,1020,1056,1070,1037,1066
1031,1003,1032
1081,1042,1031,1040,1016,1020,1028,1035,1006,1017,1001
1032
1016
1081,1042,1016,1020,1028,1043,1018,1056
1016,1006,1019,1001
1016,1003,1040
1048
1043
1052,1012,1032
1018,1074,1035
1020
1016,1031,1043,1032
1016,1031,1052,1003
1038,1081,1031,1006,1060,1066,1019
1020,1074,1032
1074,1019
1038,1031,1020,1017,1001
1081,1016,1037,1043
1039
1019
1039
1059
1059,1039,1035,1043,1054
1038,1016,1012,1017,1032,1066
1070
1074
1056
1006,1015,1019
1074
1048,1040
1070,1043,1040
1039,1035
1081,1052,1016,1020,1035
1016,1020,1066
1038,1031,1040,1020,1056,1019
1074
1059,1039,1040
1031,1019,1074,1001
1052,1039,1017,1070,1056,1019
1031,1074,1040,1016,1043,1019
1037,1056,1032
1020,1070
1018
1048,1040
1031,1020,1066,1015,1037,1054,1056
1015
1074
1016,1037,1001
1032
1081,1031,1040,1016,1006,1017
1016,1043,1040
1016,1059,1043,1035
1038
1019
1052,1020,1048,1031
1081,1020,1054
1081,1059,1028,1035
1037,1028,1019
1081,1020,1016,1056
1059,1074,1039,1020,1012,1032,1066
1016
1016,1020,1070,1003,1019
1081,1052,1016,1020,1006,1017,1003
1038,1059,1039,1035,1012,1043,1019
1031,1001
1052
1066,1035,1040
1018,1040
1020,1015,1035,1017,1019
1059
1015,1031,1039,1032
1038,1052,1016,1035,1006,1017,1001,1003
1038,1081,1012
1006,1020,1001
1012
1059,1016,1048,1012,1043,1066
1038,1059,1031,1016,1012,1032,1018,1060,1019
1070,1043,1060
1074
1052,1040,1016,1020,1006,1054
1038,1006,1020,1016
1006
1070
1043,1018
1016,1020,1037
1043
1043,1056
1059
1016,1006,1054
1059,1006,1043,1040
1020,1031,1040
1059,1074,1018
1043,1060
1043,1032
1031,1012
1035
1038
1059,1031,1039,1012,1043,1032,1003,1019
1038,1016,1012
1042,1056,1018
1016,1043,1060
1059,1040,1016,1028,1003,1056
1032
1059,1035,1015,1017,1043,1056
1059,1054
1059
1028,1056
1081,1028
1016,1020,1066
1059,1043,1035
1039
1020,1015,1012
1020,1056
1038,1059
1081,1028
1054,1039
1015
1059
1059
1016,1001
1059,1031,1039,1016,1020,1012,1017,1043,1070,1018,1054
1031,1043
1035
1054,1066
1028,1019
1054,1015
1054,1037
1020
1016,1056
1038,1031,1040
1074
1038,1032
1038,1059,1040
1016,1020,1018
1039,1043,1018
1081,1031,1043,1018,1001,1066
1056
1016,1020
1020,1035,1012
1059,1042,1031,1052,1016,1012,1018,1032
1016,1052
1038,1081,1031,1059,1016,1020,1037,1043,1018,1060
1040,1016,1020,1035,1043,1018,1066
1052,1016,1060,1017,1001
1016
1081
1020
1016
1054,1040
1039,1016,1020,1006,1017,1060,1003,1056
1081,1052,1040,1016,1006,1060,1019
1031,1043
1081,1020,1017,1001,1066
1038,1052,1074,1040,1020,1048,1018,1001,1054
1031,1043,1015,1001
1020,1018
1020,1054
1012
1081,1016,1018,1012
1031,1032
1074,1039,1017,1043,1070,1054
1039
1016
1020,1043,1018
1070,1056,1054
1052,1040,1016,1001,1035,1032
1081,1059,1031,1040,1001,1032
1070,1040
1020,1043,1056,1032
1070
1043,1035,1012
1019
1081,1017,1003
1059,1056
1056,1017,1037,1066
1020,1054
1059
1066
1038,1066,1040
1052,1001,1020,1035,1032
1081,1059,1040,1016,1020,1070,1060,1019
1054
1038,1052,1040,1016,1066
1052,1040,1048,1043,1001
1031,1028,1040
1059,1015,1056
1037,1032
1081,1031,1016,1018,1056,1019
1081,1042,1040,1016,1020,1015,1032,1001
1059,1015,1012,1035,1001
1059
1019,1043,1040
1037,1039
1074,1043,1018,1056,1019
1043,1074
1054,1039
1059,1015,1056
1038,1074,1039,1040,1001,1054
1052,1043,1003
1042,1020,1043,1001
1059
1043,1035
1081,1039,1020,1060,1066
1059,1016,1048,1015,1032
1059
1038,1016,1028,1003,1019
1059,1017,1035,1054
1038,1059,1031,1040,1001
1038,1031,1016,1006,1060,1019
1059
1059,1031,1048
1081,1059,1031,1020,1015,1037,1043,1066
1038,1081,1031,1040,1020,1006,1003
1035,1032
1003,1035,1060
1035,1032
1074,1039
1066
1038,1081,1012,1070,1003
1038,1040,1016,1032,1054
1016,1003,1043,1035
1081,1016,1006,1017,1043
1054,1074,1040
1059,1042,1032
