filename,type,min support,trans,items,len of frequentItemset,time
Data/Online_Retail-formatted-code-number-TOP40.csv,APRIORI,0.01,5000,16342,702,8.185692548751831
Data/Online_Retail-formatted-code-number-TOP40.csv,APRIORI,0.05,5000,16342,35,0.9910140037536621
Data/RetailScanner-formatted-category-number-TOP10.csv,APRIORI,0.01,5000,6806,28,0.09987878799438477
Data/RetailScanner-formatted-category-number-TOP10.csv,APRIORI,0.05,5000,6806,11,0.06452250480651855
Data/RetailScanner-formatted-category-number-TOP20.csv,APRIORI,0.01,5000,8093,63,0.3837738037109375
Data/RetailScanner-formatted-category-number-TOP20.csv,APRIORI,0.05,5000,8093,16,0.15448403358459473
Data/RetailScanner-formatted-category-number-TOP30.csv,APRIORI,0.01,5000,8485,73,0.7414085865020752
Data/RetailScanner-formatted-category-number-TOP30.csv,APRIORI,0.05,5000,8485,12,0.10015225410461426
Data/RetailScanner-formatted-category-number-TOP40.csv,APRIORI,0.01,5000,8925,79,1.2708079814910889
Data/RetailScanner-formatted-category-number-TOP40.csv,APRIORI,0.05,5000,8925,10,0.07073807716369629
Data/Bakery-formatted-number-TOP10.csv,BRUTE FORCE,0.01,5000,7975,37,0.6058070659637451
Data/Bakery-formatted-number-TOP20.csv,BRUTE FORCE,0.01,5000,8825,49,601.7761731147766
Data/Market_Basket-number-TOP10.csv,BRUTE FORCE,0.01,5000,10083,97,0.598118782043457
Data/Market_Basket-number-TOP20.csv,BRUTE FORCE,0.01,5000,12851,199,565.9958395957947
Data/Online_Retail-formatted-code-number-TOP10.csv,BRUTE FORCE,0.01,5000,8813,99,0.5956180095672607
Data/Online_Retail-formatted-code-number-TOP20.csv,BRUTE FORCE,0.01,5000,11630,282,574.4181568622589
Data/RetailScanner-formatted-category-number-TOP10.csv,BRUTE FORCE,0.01,5000,6806,28,0.5860097408294678
Data/RetailScanner-formatted-category-number-TOP20.csv,BRUTE FORCE,0.01,5000,8093,63,568.8626792430878
Data/Bakery-formatted-number-TOP10.csv,APRIORI,0.01,5000,7975,37,0.1545102596282959
Data/Bakery-formatted-number-TOP10.csv,APRIORI,0.05,5000,7975,13,0.0590822696685791
