Datasets,TOP ITEM,type,min support,trans,items,len of frequentItemset,Time -Round 1,Time -Round 2,Time -Round 3
Bakery,20,APRIORI,0.05,5000,8825,10,,,
Bakery,30,APRIORI,0.01,5000,9139,54,,,
Bakery,30,APRIORI,0.05,5000,9139,9,,,
Bakery,40,APRIORI,0.01,5000,9438,57,,,
Bakery,40,APRIORI,0.05,5000,9438,9,,,
MarketBasket,10,APRIORI,0.01,5000,10083,97,,,
MarketBasket,10,APRIORI,0.05,5000,10083,19,,,
MarketBasket,20,APRIORI,0.01,5000,12851,199,,,
MarketBasket,20,APRIORI,0.05,5000,12851,24,,,
MarketBasket,30,APRIORI,0.01,5000,15156,258,,,
MarketBasket,30,APRIORI,0.05,5000,15156,32,,,
MarketBasket,40,APRIORI,0.01,5000,16366,268,,,
MarketBasket,40,APRIORI,0.05,5000,16366,31,,,
OnlineRetail,10,APRIORI,0.01,5000,8813,99,,,
OnlineRetail,10,APRIORI,0.05,5000,8813,13,,,
OnlineRetail,20,APRIORI,0.01,5000,11630,282,,,
OnlineRetail,20,APRIORI,0.05,5000,11630,21,,,
OnlineRetail,30,APRIORI,0.01,5000,14383,491,,,
OnlineRetail,30,APRIORI,0.05,5000,14383,29,,,
OnlineRetail,40,APRIORI,0.01,5000,16342,702,,,
OnlineRetail,40,APRIORI,0.05,5000,16342,35,,,
RetailScanner,10,APRIORI,0.01,5000,6806,28,,,
RetailScanner,10,APRIORI,0.05,5000,6806,11,,,
RetailScanner,20,APRIORI,0.01,5000,8093,63,,,
RetailScanner,20,APRIORI,0.05,5000,8093,16,,,
RetailScanner,30,APRIORI,0.01,5000,8485,73,,,
RetailScanner,30,APRIORI,0.05,5000,8485,12,,,
RetailScanner,40,APRIORI,0.01,5000,8925,79,,,
RetailScanner,40,APRIORI,0.05,5000,8925,10,,,
Bakery,10,BRUTE FORCE,0.01,5000,7975,37,,,
Bakery,20,BRUTE FORCE,0.01,5000,8825,49,,,
MarketBasket,10,BRUTE FORCE,0.01,5000,10083,97,,,
MarketBasket,20,BRUTE FORCE,0.01,5000,12851,199,,,
OnlineRetail,10,BRUTE FORCE,0.01,5000,8813,99,,,
OnlineRetail,20,BRUTE FORCE,0.01,5000,11630,282,,,
RetailScanner,10,BRUTE FORCE,0.01,5000,6806,28,,,
RetailScanner,20,BRUTE FORCE,0.01,5000,8093,63,,,
Bakery,10,APRIORI-LIB,0.01,5000,7975,37,0.010039091,,
Bakery,10,APRIORI-LIB,0.05,5000,7975,13,0.005650282,,
Bakery,20,APRIORI-LIB,0.01,5000,8825,49,0.009096861,,
Bakery,20,APRIORI-LIB,0.05,5000,8825,10,0.005017996,,
Bakery,30,APRIORI-LIB,0.01,5000,9139,54,0.009677887,,
Bakery,30,APRIORI-LIB,0.05,5000,9139,9,0.017431021,,
Bakery,40,APRIORI-LIB,0.01,5000,9438,57,0.010947943,,
Bakery,40,APRIORI-LIB,0.05,5000,9438,9,0.005188942,,
MarketBasket,10,APRIORI-LIB,0.01,5000,10083,97,0.008152962,,
MarketBasket,10,APRIORI-LIB,0.05,5000,10083,19,0.005403042,,
MarketBasket,20,APRIORI-LIB,0.01,5000,12851,199,0.018688917,,
MarketBasket,20,APRIORI-LIB,0.05,5000,12851,24,0.007295132,,
MarketBasket,30,APRIORI-LIB,0.01,5000,15156,258,0.034837961,,
MarketBasket,30,APRIORI-LIB,0.05,5000,15156,32,0.009799242,,
MarketBasket,40,APRIORI-LIB,0.01,5000,16366,268,0.050338745,,
MarketBasket,40,APRIORI-LIB,0.05,5000,16366,31,0.010061026,,
OnlineRetail,10,APRIORI-LIB,0.01,5000,8813,99,0.007661104,,
OnlineRetail,10,APRIORI-LIB,0.05,5000,8813,13,0.005100012,,
OnlineRetail,20,APRIORI-LIB,0.01,5000,11630,282,0.021912813,,
OnlineRetail,20,APRIORI-LIB,0.05,5000,11630,21,0.006823778,,
OnlineRetail,30,APRIORI-LIB,0.01,5000,14383,491,0.051755905,,
OnlineRetail,30,APRIORI-LIB,0.05,5000,14383,29,0.009249926,,
OnlineRetail,40,APRIORI-LIB,0.01,5000,16342,702,0.097782135,,
OnlineRetail,40,APRIORI-LIB,0.05,5000,16342,35,0.023741007,,
RetailScanner,10,APRIORI-LIB,0.01,5000,6806,28,0.005290985,,
RetailScanner,10,APRIORI-LIB,0.05,5000,6806,11,0.004468918,,
RetailScanner,20,APRIORI-LIB,0.01,5000,8093,63,0.008303881,,
RetailScanner,20,APRIORI-LIB,0.05,5000,8093,16,0.005348206,,
RetailScanner,30,APRIORI-LIB,0.01,5000,8485,73,0.010344267,,
RetailScanner,30,APRIORI-LIB,0.05,5000,8485,12,0.004803896,,
RetailScanner,40,APRIORI-LIB,0.01,5000,8925,79,0.014358997,,
RetailScanner,40,APRIORI-LIB,0.05,5000,8925,10,0.004951954,,
