filename,type,min support,trans,items,time
Data/Bakery-formatted-number-TOP10.csv,APRIORI,0.01,8339,13484,0.07608819007873535
Data/Bakery-formatted-number-TOP10.csv,APRIORI,0.05,8339,13484,0.24384093284606934
Data/Bakery-formatted-number-TOP20.csv,APRIORI,0.01,9037,16550,0.25150108337402344
Data/Bakery-formatted-number-TOP20.csv,APRIORI,0.05,9037,16550,0.03342914581298828
Data/Bakery-formatted-number-TOP30.csv,APRIORI,0.01,9298,17885,0.501000165939331
Data/Bakery-formatted-number-TOP30.csv,APRIORI,0.05,9298,17885,0.036643028259277344
Data/Bakery-formatted-number-TOP40.csv,APRIORI,0.01,9365,18445,0.5065362453460693
Data/Bakery-formatted-number-TOP40.csv,APRIORI,0.05,9365,18445,0.03605985641479492
Data/Groceries-formatted-number-TOP10.csv,APRIORI,0.01,3656,11111,0.22649526596069336
Data/Groceries-formatted-number-TOP10.csv,APRIORI,0.05,3656,11111,0.07262301445007324
Data/Groceries-formatted-number-TOP20.csv,APRIORI,0.01,3810,17117,3.0530359745025635
Data/Groceries-formatted-number-TOP20.csv,APRIORI,0.05,3810,17117,0.39392876625061035
Data/Groceries-formatted-number-TOP30.csv,APRIORI,0.01,3866,21595,9.892871856689453
Data/Groceries-formatted-number-TOP30.csv,APRIORI,0.05,3866,21595,0.8952319622039795
Data/Groceries-formatted-number-TOP40.csv,APRIORI,0.01,3881,24697,18.15883994102478
Data/Groceries-formatted-number-TOP40.csv,APRIORI,0.05,3881,24697,1.2728121280670166
Data/Market_Basket-number-TOP10.csv,APRIORI,0.01,5520,11081,0.12187600135803223
Data/Market_Basket-number-TOP10.csv,APRIORI,0.05,5520,11081,0.03430485725402832
Data/Market_Basket-number-TOP20.csv,APRIORI,0.01,6536,16602,0.6664068698883057
Data/Market_Basket-number-TOP20.csv,APRIORI,0.05,6536,16602,0.15889883041381836
Data/Market_Basket-number-TOP30.csv,APRIORI,0.01,6855,20366,1.3082399368286133
Data/Market_Basket-number-TOP30.csv,APRIORI,0.05,6855,20366,0.354931116104126
Data/Market_Basket-number-TOP40.csv,APRIORI,0.01,7075,22646,1.7814209461212158
Data/Market_Basket-number-TOP40.csv,APRIORI,0.05,7075,22646,0.35582590103149414
